SentParameters,,Expressions SentParameters',ε,,,,Expressions SentParameters',,,,,Expressions SentParameters',Expressions SentParameters',,,,,,,,,,,,,,,,,,,,,Expressions SentParameters',Expressions SentParameters',Expressions SentParameters',Expressions SentParameters',Expressions SentParameters',Expressions SentParameters',
SentParameters',,,ε,,,,,comma Expressions SentParameters',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conditional,,,,,,,,,,,,,,if Condition lkey Statements' rkey Conditional',,,,,,,,,,,,,,,,,,,,,,,,,,
Conditional',,,,,ε,,ε,,ε,ε,,,ε,ε,ElseIf,ElseIf,ε,ε,ε,ε,ε,,,,,,,,,,,,,,,,,,,
ElseIf,,,,,,,,,,,,,,,Elif Else,Else,,,,,,,,,,,,,,,,,,,,,,,,
Elif,,,,,,,,,,,,,,,elif Condition lkey Statements' rkey Elif',,,,,,,,,,,,,,,,,,,,,,,,,
Elif',,,,,,,,,,,,,,,Elif,ε,,,,,,,,,,,,,,,,,,,,,,,,
Else,,,,,,,,,,,,,,,,else lkey Statements' rkey,,,,,,,,,,,,,,,,,,,,,,,,
Loop,,,,,,,,,,,,,,,,,While,For,,,,,,,,,,,,,,,,,,,,,,
While,,,,,,,,,,,,,,,,,while Condition lkey Statements' rkey,,,,,,,,,,,,,,,,,,,,,,,
For,,,,,,,,,,,,,,,,,,for Expressions comma Expressions For',,,,,,,,,,,,,,,,,,,,,,
For',,,,lkey Statements' rkey,,,,comma Expressions lkey Statements' rkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Condition,,Expressions Condition',,,,,Expressions Condition',,,,,Expressions Condition',Expressions Condition',,,,,,,,,,,,,,,,,,,,,Expressions Condition',Expressions Condition',Expressions Condition',Expressions Condition',Expressions Condition',Expressions Condition',
Condition',,,,ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,LogicalOperator Condition,LogicalOperator Condition,,,,,,,
ReturnStatement,,,,,,,,,,,,,,,,,,,return Expressions,,,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,comment,multicomment,,,,,,,,,,,,,,,,,,,
ArithOperator,,,,,,,,,,,,,,,,,,,,,,plus,minus,,,,,,,,,,,,,,,,,
ArithOperator',,,,,,,,,,,,,,,,,,,,,,,,times,divide,,,,,,,,,,,,,,,
ComparisonOperator,,,,,,,,,,,,,,,,,,,,,,,,,,less,greater,equalequal,lessequal,greaterequal,diferent,,,,,,,,,
LogicalOperator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,or,,,,,,,
Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,string,null,Number,Number,Boolean,Boolean,
Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,int,float,,,
Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,
